4/3/25 19:33:0, Microphone: 176, Temp =  83.29, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35
4/3/25 19:33:42, Microphone: -2, Temp =  83.56, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.87, GyroZ =  0.42

4/3/25 19:33:43, Microphone: 2, Temp =  83.64, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.42

4/3/25 19:33:45, Microphone: -23, Temp =  83.68, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.35

4/3/25 19:33:46, Microphone: -40, Temp =  83.64, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.59, GyroZ =  0.28

4/3/25 19:33:47, Microphone: 26, Temp =  83.57, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:33:48, Microphone: 6, Temp =  83.67, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.21

4/3/25 19:33:50, Microphone: 2, Temp =  83.65, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.66, GyroZ =  0.28

4/3/25 19:33:51, Microphone: -11, Temp =  83.63, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.73, GyroZ =  0.35

4/3/25 19:33:52, Microphone: -1, Temp =  83.72, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.15, GyroZ =  0.35

4/3/25 19:33:53, Microphone: -31, Temp =  83.72, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.28

4/3/25 19:33:55, Microphone: 10, Temp =  83.62, AccX =  -0.09, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:56, Microphone: -46, Temp =  83.67, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:33:57, Microphone: 15, Temp =  83.62, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:58, Microphone: -6, Temp =  83.67, AccX =  -0.10, AccY =  -0.00, AccZ =  1.01, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.21

4/3/25 19:34:0, Microphone: 6, Temp =  83.62, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.21

4/3/25 19:34:1, Microphone: -10, Temp =  83.67, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:34:2, Microphone: -30, Temp =  83.55, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.87, GyroZ =  0.21

4/3/25 19:34:3, Microphone: 30, Temp =  83.73, AccX =  -0.10, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.21

4/3/25 19:34:5, Microphone: 33, Temp =  83.58, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.21

4/3/25 19:34:6, Microphone: 34, Temp =  83.55, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:7, Microphone: 26, Temp =  83.59, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:34:8, Microphone: -8, Temp =  83.60, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.07

4/3/25 19:34:29, Microphone: -39, Temp =  83.65, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.14

4/3/25 19:34:31, Microphone: 35, Temp =  83.75, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.80, GyroZ =  0.28

4/3/25 19:34:32, Microphone: -18, Temp =  83.70, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -2.80, GyroZ =  0.42

4/3/25 19:34:33, Microphone: -44, Temp =  83.73, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  0.14, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:34:34, Microphone: -21, Temp =  83.62, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.01, GyroZ =  0.42

4/3/25 19:34:36, Microphone: 27, Temp =  83.71, AccX =  -0.09, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -3.01, GyroZ =  0.35

4/3/25 19:34:37, Microphone: 35, Temp =  83.70, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.28

4/3/25 19:34:38, Microphone: 3, Temp =  83.69, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.21

4/3/25 19:34:39, Microphone: 8, Temp =  83.63, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.80, GyroZ =  0.42

4/3/25 19:34:41, Microphone: -4, Temp =  83.66, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  -0.07, GyroY =  -3.08, GyroZ =  0.35

4/3/25 19:34:42, Microphone: -24, Temp =  83.70, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.00, GyroY =  -3.08, GyroZ =  0.28

4/3/25 19:34:43, Microphone: 11, Temp =  83.69, AccX =  -0.09, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.87, GyroZ =  0.35

4/3/25 19:33:0, Microphone: 164, Temp =  82.81, AccX =  -0.09, AccY =  -0.01, AccZ =  1.00, GyroX =  0.00, GyroY =  -2.94, GyroZ =  0.42

4/3/25 19:33:1, Microphone: -3, Temp =  83.04, AccX =  -0.10, AccY =  -0.00, AccZ =  1.00, GyroX =  0.07, GyroY =  -2.94, GyroZ =  0.21

